Template Version,Origin Milestone,State,Layer / Asset Group
v0.1,v0.1,NEW,Identity / Ally
v0.1,v0.1,NEW,Identity / Enemy
v0.1,v0.1,NEW,Identity / Hero identities (derive from live catalog)
v0.1,v0.1,NEW,Phase / Prep
v0.1,v0.1,NEW,Phase / Dash
v0.1,v0.1,NEW,Phase / Blast
v0.1,v0.1,NEW,Phase / Move
v0.1,v0.1,NEW,Action / Generic + core actions (derive from live RequiredIconIds)
v0.1,v0.1,NEW,Status / current Status.* set (derive from live gameplay tags)
v0.1,v0.1,NEW,Certainty / Confirmed
v0.1,v0.1,NEW,Certainty / Predicted
v0.1,v0.1,NEW,Certainty / Uncertain
v0.1,v0.1,NEW,Warning / Invalid plan or target
v0.1,v0.1,NEW,Warning / Allied collision
v0.1,v0.1,NEW,Warning / Friendly Fire
v0.1,v0.1,NEW,Warning / Insufficient resource
v0.1,v0.1,NEW,Warning / Target may move / uncertain outcome
v0.1,v0.1,NEW,Planning / Confirm
v0.1,v0.1,NEW,Planning / Ready
v0.1,v0.1,NEW,Planning / Undo
v0.1,v0.1,NEW,Action Slot / Available
v0.1,v0.1,NEW,Action Slot / Hover
v0.1,v0.1,NEW,Action Slot / Selected
v0.1,v0.1,NEW,Action Slot / Planned
v0.1,v0.1,NEW,Action Slot / Cooldown
v0.1,v0.1,NEW,Action Slot / Unavailable
v0.1,v0.1,NEW,Action Slot / Invalid
v0.1,v0.1,NEW,Action Slot / Warning
v0.1,v0.1,NEW,World Overlay / Path
v0.1,v0.1,NEW,World Overlay / Destination
v0.1,v0.1,NEW,World Overlay / Target
v0.1,v0.1,NEW,World Overlay / AoE
v0.1,v0.1,NEW,World Overlay / Facing
v0.2,v0.1,INHERITED,Identity / Ally
v0.2,v0.1,INHERITED,Identity / Enemy
v0.2,v0.1,INHERITED,Identity / Hero identities (derive from live catalog)
v0.2,v0.1,INHERITED,Phase / Prep
v0.2,v0.1,INHERITED,Phase / Dash
v0.2,v0.1,INHERITED,Phase / Blast
v0.2,v0.1,INHERITED,Phase / Move
v0.2,v0.1,INHERITED,Action / Generic + core actions (derive from live RequiredIconIds)
v0.2,v0.1,INHERITED,Status / current Status.* set (derive from live gameplay tags)
v0.2,v0.1,INHERITED,Certainty / Confirmed
v0.2,v0.1,INHERITED,Certainty / Predicted
v0.2,v0.1,INHERITED,Certainty / Uncertain
v0.2,v0.1,INHERITED,Warning / Invalid plan or target
v0.2,v0.1,INHERITED,Warning / Allied collision
v0.2,v0.1,INHERITED,Warning / Friendly Fire
v0.2,v0.1,INHERITED,Warning / Insufficient resource
v0.2,v0.1,INHERITED,Warning / Target may move / uncertain outcome
v0.2,v0.1,INHERITED,Planning / Confirm
v0.2,v0.1,INHERITED,Planning / Ready
v0.2,v0.1,INHERITED,Planning / Undo
v0.2,v0.1,INHERITED,Action Slot / Available
v0.2,v0.1,INHERITED,Action Slot / Hover
v0.2,v0.1,INHERITED,Action Slot / Selected
v0.2,v0.1,INHERITED,Action Slot / Planned
v0.2,v0.1,INHERITED,Action Slot / Cooldown
v0.2,v0.1,INHERITED,Action Slot / Unavailable
v0.2,v0.1,INHERITED,Action Slot / Invalid
v0.2,v0.1,INHERITED,Action Slot / Warning
v0.2,v0.1,INHERITED,World Overlay / Path
v0.2,v0.1,INHERITED,World Overlay / Destination
v0.2,v0.1,INHERITED,World Overlay / Target
v0.2,v0.1,INHERITED,World Overlay / AoE
v0.2,v0.1,INHERITED,World Overlay / Facing
v0.2,v0.2,NEW,Coordination / Team intent
v0.2,v0.2,NEW,Coordination / Labels
v0.2,v0.2,NEW,Coordination / Ping
v0.2,v0.2,NEW,Coordination / Conflict
v0.2,v0.2,NEW,Decision Window / Fast Reaction
v0.2,v0.2,NEW,Reaction / FIRE
v0.2,v0.2,NEW,Reaction / HOLD
v0.2,v0.2,NEW,Reaction / Timeout
v0.2,v0.2,NEW,Reaction / Available
v0.2,v0.2,NEW,Reaction / Armed
v0.2,v0.2,NEW,Reaction / Opportunity
v0.2,v0.2,NEW,Reaction / Consumed
v0.2,v0.2,NEW,Reaction / Expired
v0.2,v0.2,NEW,Reaction / Invalidated
v0.2,v0.2,NEW,STOP / YIELD (ONLY if gameplay currently supports them)
v0.3,v0.1,INHERITED,Identity / Ally
v0.3,v0.1,INHERITED,Identity / Enemy
v0.3,v0.1,INHERITED,Identity / Hero identities (derive from live catalog)
v0.3,v0.1,INHERITED,Phase / Prep
v0.3,v0.1,INHERITED,Phase / Dash
v0.3,v0.1,INHERITED,Phase / Blast
v0.3,v0.1,INHERITED,Phase / Move
v0.3,v0.1,INHERITED,Action / Generic + core actions (derive from live RequiredIconIds)
v0.3,v0.1,INHERITED,Status / current Status.* set (derive from live gameplay tags)
v0.3,v0.1,INHERITED,Certainty / Confirmed
v0.3,v0.1,INHERITED,Certainty / Predicted
v0.3,v0.1,INHERITED,Certainty / Uncertain
v0.3,v0.1,INHERITED,Warning / Invalid plan or target
v0.3,v0.1,INHERITED,Warning / Allied collision
v0.3,v0.1,INHERITED,Warning / Friendly Fire
v0.3,v0.1,INHERITED,Warning / Insufficient resource
v0.3,v0.1,INHERITED,Warning / Target may move / uncertain outcome
v0.3,v0.1,INHERITED,Planning / Confirm
v0.3,v0.1,INHERITED,Planning / Ready
v0.3,v0.1,INHERITED,Planning / Undo
v0.3,v0.1,INHERITED,Action Slot / Available
v0.3,v0.1,INHERITED,Action Slot / Hover
v0.3,v0.1,INHERITED,Action Slot / Selected
v0.3,v0.1,INHERITED,Action Slot / Planned
v0.3,v0.1,INHERITED,Action Slot / Cooldown
v0.3,v0.1,INHERITED,Action Slot / Unavailable
v0.3,v0.1,INHERITED,Action Slot / Invalid
