Scope,SemanticID,Label,Category,AccentToken,Notes
CORE,UI.Icon.Action.BasicAttack,Basic Attack,Action,Attack,Generic attack; visually in Character Kit
CORE,UI.Icon.Action.Move,Move,Movement,Movement,Path with nodes
CORE,UI.Icon.Action.Sprint,Sprint,Movement,Movement,Long stride / speed trail
CORE,UI.Icon.Action.Dash,Dash,Movement,Movement,Special evasive/reposition movement
CORE,UI.Icon.Action.Brace,Brace,Defense/Reaction,Defense/Reaction,Distinct from Shield and Cover
CORE,UI.Icon.Action.Overwatch,Overwatch,Reaction/Control,Reaction,Facing controlled sector
CORE,UI.Icon.Action.Interact,Interact,Utility,Utility,Context action
CORE,UI.Icon.Action.Wait,Wait,Utility,Neutral,Distinct from Hold
CORE,UI.Icon.Coordination.Ready,Ready,Coordination,Gold,Not a skill
CORE,UI.Icon.Coordination.Unready,Unready,Coordination,Neutral,Open/unlocked ready state
LEGACY_CHECK,UI.Icon.Action.Guard,Guard,Defense,Defense,Only if current consumer exists
LEGACY_CHECK,UI.Icon.Action.Activate,Activate,Utility,Utility,Only if distinct from Interact
CONDITIONAL_V01,UI.Icon.Action.Sneak,Sneak,Movement,Movement,Movement profile if exposed
CORE,UI.Icon.Target.Self,Self,Target,Primary UI,
CORE,UI.Icon.Target.Ally,Ally,Target,Ally,Shape+color
CORE,UI.Icon.Target.Enemy,Enemy,Target,Enemy,Shape+color
CORE,UI.Icon.Target.Cell,Cell,Target,Primary UI,Clean hex
CORE,UI.Icon.Target.Object,Object,Target,Primary UI,
CORE,UI.Icon.Target.Direction,Direction,Target,Primary UI,
CORE,UI.Icon.Geometry.Line,Line,Geometry,Primary UI,Origin+segment+arrow
CORE,UI.Icon.Geometry.Circle,Circle,Geometry,Primary UI,
CORE,UI.Icon.Geometry.Cone,Cone,Geometry,Primary UI,
CORE,UI.Icon.Geometry.Chain,Chain,Geometry,Primary UI,"Nodes/jumps, not lone bolt"
CORE_IF_SHOWN,UI.Icon.Geometry.Arc,Arc,Geometry,Primary UI,
